 Sistema de Informação de Atenção Básica - Produção e Marcadores - Brasil
Atend.Pré-Natal por Município e Ano
Período:1998-2015
"Município";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"Total"
" MUNICIPIO IGNORADO - RO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"110001 ALTA FLORESTA D'OESTE";1239;2138;1655;963;224;377;870;167;202;545;415;442;680;638;1274;1311;1115;713;14968
"110002 ARIQUEMES";754;5415;5220;3606;3309;2955;3669;2527;5390;7139;7604;7601;6977;8036;7910;7314;8642;4803;98871
"110003 CABIXI";61;-;217;242;354;317;444;542;1078;693;727;192;512;473;332;307;382;328;7201
"110004 CACOAL";277;1224;821;3166;6257;6763;5856;4963;6193;8180;6494;6563;5412;5240;5570;5759;5579;4819;89136
"110005 CEREJEIRAS";1189;1989;1295;980;1640;1240;900;1184;1508;1329;1743;1244;1265;1427;1277;1324;1212;761;23507
"110006 COLORADO DO OESTE";311;458;1162;785;579;776;454;5276;2425;2137;1618;1458;1509;1207;1370;1454;1808;644;25431
"110007 CORUMBIARA";390;47;135;690;-;700;660;668;571;442;544;451;619;423;476;594;655;293;8358
"110008 COSTA MARQUES";406;59;-;-;-;-;1398;1629;2127;2089;1699;1933;-;-;738;813;1538;954;15383
"110009 ESPIGAO D'OESTE";649;835;440;525;177;282;25;484;371;315;426;428;148;118;99;141;194;204;5861
"110010 GUAJARA-MIRIM";332;714;504;749;667;287;1190;1159;953;562;522;231;1331;2861;3331;-;4184;3439;23016
"110011 JARU";-;-;-;2228;2524;451;281;37;4311;3137;5505;4941;4677;1984;382;5040;3118;4103;42719
"110012 JI-PARANA";1474;1703;-;2890;7213;8203;7320;8307;7850;6451;7776;7233;7557;6696;7919;8478;9230;11147;117447
"110013 MACHADINHO D'OESTE";-;-;-;-;-;1048;319;754;2938;1968;2337;942;1859;3196;2446;2014;2227;2277;24325
"110014 NOVA BRASILANDIA D'OESTE";1339;1229;-;55;-;-;1093;1241;1750;2314;1870;1291;1367;-;815;930;1011;1170;17475
"110015 OURO PRETO DO OESTE";-;-;320;1151;1480;1069;948;1512;2004;2718;3004;3635;2972;2950;2179;3208;3058;-;32208
