 Óbitos de mulheres em idade fértil e óbitos maternos - Brasil
Óbitos maternosÓbitos maternos tardios por Município
Período:1996-2021
"Município";"Óbitos_maternos";"Óbitos_maternos_tardios"
" MUNICIPIO IGNORADO - RO";2;-
"110001 ALTA FLORESTA D'OESTE";4;-
"110002 ARIQUEMES";26;1
"110003 CABIXI";1;-
"110004 CACOAL";13;-
"110005 CEREJEIRAS";3;-
"110006 COLORADO DO OESTE";5;-
"110007 CORUMBIARA";-;-
"110008 COSTA MARQUES";1;-
"110009 ESPIGAO D'OESTE";7;-
"110010 GUAJARA-MIRIM";8;3
"110011 JARU";9;1
"110012 JI-PARANA";26;2
"110013 MACHADINHO D'OESTE";4;-
"110014 NOVA BRASILANDIA D'OESTE";1;1
"110015 OURO PRETO DO OESTE";7;-
"110018 PIMENTA BUENO";5;1
"110020 PORTO VELHO";130;14
"110025 PRESIDENTE MEDICI";6;-
"110026 RIO CRESPO";-;-
"110028 ROLIM DE MOURA";13;-
"110029 SANTA LUZIA D'OESTE";1;-
"110030 VILHENA";22;2
"110032 SAO MIGUEL DO GUAPORE";1;-
"110033 NOVA MAMORE";4;-
"110034 ALVORADA D'OESTE";8;-
"110037 ALTO ALEGRE DOS PARECIS";1;-
"110040 ALTO PARAISO";4;-
"110045 BURITIS";4;1
"110050 NOVO HORIZONTE DO OESTE";1;-
"110060 CACAULANDIA";-;-
"110070 CAMPO NOVO DE RONDONIA";1;-
"110080 CANDEIAS DO JAMARI";7;1
"110090 CASTANHEIRAS";-;-
"110092 CHUPINGUAIA";4;-
"110094 CUJUBIM";8;-
"110100 GOVERNADOR JORGE TEIXEIRA";-;-
"110110 ITAPUA DO OESTE";2;-
"110120 MINISTRO ANDREAZZA";-;-
"110130 MIRANTE DA SERRA";3;-
"110140 MONTE NEGRO";1;-
"110143 NOVA UNIAO";1;-
"110145 PARECIS";2;-
"110146 PIMENTEIRAS DO OESTE";-;-
"110147 PRIMAVERA DE RONDONIA";-;-
"110148 SAO FELIPE D'OESTE";1;-
"110149 SAO FRANCISCO DO GUAPORE";5;-
"110150 SERINGUEIRAS";6;-
"110155 TEIXEIROPOLIS";1;-
"110160 THEOBROMA";4;-
"110170 URUPA";3;-
"110175 VALE DO ANARI";2;-
"110180 VALE DO PARAISO";1;-
" MUNICIPIO IGNORADO - AC";-;-
"120001 ACRELANDIA";1;-
"120005 ASSIS BRASIL";2;-
"120010 BRASILEIA";5;-
"120013 BUJARI";2;-
"120017 CAPIXABA";1;-
"120020 CRUZEIRO DO SUL";20;-
"120025 EPITACIOLANDIA";5;-
"120030 FEIJO";11;-
"120032 JORDAO";3;-
"120033 MANCIO LIMA";2;-
"120034 MANOEL URBANO";6;-
"120035 MARECHAL THAUMATURGO";7;-
"120038 PLACIDO DE CASTRO";2;-
"120039 PORTO WALTER";2;-
"120040 RIO BRANCO";86;2
"120042 RODRIGUES ALVES";3;-
"120043 SANTA ROSA DO PURUS";5;-
"120045 SENADOR GUIOMARD";4;-
"120050 SENA MADUREIRA";9;-
"120060 TARAUACA";9;-
"120070 XAPURI";2;-
"120080 PORTO ACRE";4;-
" MUNICIPIO IGNORADO - AM";1;-
"130002 ALVARAES";5;-
"130006 AMATURA";8;-
"130008 ANAMA";4;-
"130010 ANORI";9;1
"130014 APUI";2;-
"130020 ATALAIA DO NORTE";14;-
"130030 AUTAZES";8;-
"130040 BARCELOS";8;-
"130050 BARREIRINHA";17;1
"130060 BENJAMIN CONSTANT";23;-
"130063 BERURI";9;1
"130068 BOA VISTA DO RAMOS";6;-
"130070 BOCA DO ACRE";4;-
"130080 BORBA";11;-
"130083 CAAPIRANGA";5;-
"130090 CANUTAMA";8;-
"130100 CARAUARI";14;-
"130110 CAREIRO";9;-
"130115 CAREIRO DA VARZEA";4;-
"130120 COARI";34;-
"130130 CODAJAS";10;-
"130140 EIRUNEPE";19;-
"130150 ENVIRA";4;-
"130160 FONTE BOA";13;-
"130165 GUAJARA";2;-
"130170 HUMAITA";10;-
"130180 IPIXUNA";14;-
"130185 IRANDUBA";14;-
"130190 ITACOATIARA";34;1
"130195 ITAMARATI";6;-
"130200 ITAPIRANGA";2;-
"130210 JAPURA";1;-
"130220 JURUA";6;-
"130230 JUTAI";11;-
"130240 LABREA";11;-
"130250 MANACAPURU";44;1
"130255 MANAQUIRI";3;-
"130260 MANAUS";674;33
"130270 MANICORE";11;-
"130280 MARAA";4;-
"130290 MAUES";33;-
"130300 NHAMUNDA";8;-
"130310 NOVA OLINDA DO NORTE";10;1
"130320 NOVO AIRAO";2;-
"130330 NOVO ARIPUANA";7;-
"130340 PARINTINS";35;-
"130350 PAUINI";8;-
"130353 PRESIDENTE FIGUEIREDO";8;-
"130356 RIO PRETO DA EVA";5;1
"130360 SANTA ISABEL DO RIO NEGRO";11;1
"130370 SANTO ANTONIO DO ICA";12;1
"130380 SAO GABRIEL DA CACHOEIRA";38;-
"130390 SAO PAULO DE OLIVENCA";16;-
"130395 SAO SEBASTIAO DO UATUMA";3;-
"130400 SILVES";2;-
"130406 TABATINGA";30;-
"130410 TAPAUA";15;-
"130420 TEFE";26;1
"130423 TONANTINS";3;2
"130426 UARINI";9;-
"130430 URUCARA";6;-
"130440 URUCURITUBA";4;-
" MUNICIPIO IGNORADO - RR";-;-
"140002 AMAJARI";7;-
"140005 ALTO ALEGRE";16;-
"140010 BOA VISTA";98;1
"140015 BONFIM";6;-
"140017 CANTA";11;-
"140020 CARACARAI";8;1
"140023 CAROEBE";3;-
"140028 IRACEMA";4;-
"140030 MUCAJAI";4;-
"140040 NORMANDIA";10;1
"140045 PACARAIMA";5;1
"140047 RORAINOPOLIS";13;-
"140050 SAO JOAO DA BALIZA";3;-
"140060 SAO LUIZ";3;-
"140070 UIRAMUTA";10;2
" MUNICIPIO IGNORADO - PA";2;-
