 Sistema de Informação de Atenção Básica - Situação de Saneamento - Brasil
Nº FamíliasAb água-rede públAb água-poço/nasc.Ab água-outrosLixo-coletadoLixo-queim/enterrLixo-céu abertoFez.Urina-esgotoFez.Urina-fossaFez.Urina-céu abTip.Casa TijoloTip.Casa TaipaRevTip.Casa TaipaÑRevTip.Casa MadeiraTip.Casa Mat.AprovTip.Casa OutrosTrat.Água FiltradaTrat.Água FervidaTrat.Água CloradaTrat.Água s/Trat.Energia ElétricaFam.Benef. do PBFFam. com CADÚnico por Município
Período:Dez/2015
"Município";"Nº_Famílias";"Ab_água-rede_públ";"Ab_água-poço/nasc.";"Ab_água-outros";"Lixo-coletado";"Lixo-queim/enterr";"Lixo-céu_aberto";"Fez.Urina-esgoto";"Fez.Urina-fossa";"Fez.Urina-céu_ab";"Tip.Casa_Tijolo";"Tip.Casa_TaipaRev";"Tip.Casa_TaipaÑRev";"Tip.Casa_Madeira";"Tip.Casa_Mat.Aprov";"Tip.Casa_Outros";"Trat.Água_Filtrada";"Trat.Água_Fervida";"Trat.Água_Clorada";"Trat.Água_s/Trat.";"Energia_Elétrica";"Fam.Benef._do_PBF";"Fam._com_CADÚnico"
"110001 ALTA FLORESTA D'OESTE";6181;1656;4510;15;3811;2331;39;24;6056;101;1886;29;13;4225;27;1;2903;29;2590;659;6085;1073;1081
"110002 ARIQUEMES";6307;1667;4380;260;4106;2032;169;55;6047;205;2302;17;12;3721;32;223;1645;137;3253;1272;5895;310;262
"110004 CACOAL";19716;15046;4557;113;14881;4329;506;6756;12386;574;8966;101;68;10364;169;48;15267;205;2134;2110;18857;244;156
"110005 CEREJEIRAS";5188;1807;3368;13;4088;1064;36;23;5137;28;1755;4;13;3404;12;-;1624;54;1687;1823;5062;604;26
"110006 COLORADO DO OESTE";4785;3229;1536;20;3607;1116;62;40;4483;262;1253;31;35;3403;47;16;2833;53;980;919;4667;-;-
"110008 COSTA MARQUES";2444;769;1655;20;1785;615;44;44;1958;442;766;15;15;1623;18;7;512;34;1383;515;2128;680;662
"110009 ESPIGAO D'OESTE";7608;2571;5016;21;5555;1870;183;112;6930;566;2562;14;12;4979;29;12;2982;43;1896;2687;7129;544;181
"110010 GUAJARA-MIRIM";8066;4081;3708;277;6753;1166;147;755;6558;753;3790;43;37;4060;30;106;2655;137;4527;747;7509;1;1
"110011 JARU";14513;3397;11042;74;11228;3198;87;243;13851;419;5315;52;107;8822;155;62;5446;203;7809;1055;14231;754;1281
"110012 JI-PARANA";23183;9154;13906;123;19258;3763;162;496;21922;765;11792;147;94;10918;178;54;11764;342;5975;5102;22675;776;866
"110013 MACHADINHO D'OESTE";6413;1958;4408;47;2938;3254;221;12;6020;381;776;10;18;5556;29;24;1881;64;3913;555;4641;517;55
