 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2021 - Brasil
População residente por Município
Faixa Etária 1: 5 a 9 anos
Período:2015
"Município";"População_residente"
"110001 ALTA FLORESTA D'OESTE";1840
"110002 ARIQUEMES";8046
"110003 CABIXI";460
"110004 CACOAL";6194
"110005 CEREJEIRAS";1241
"110006 COLORADO DO OESTE";1258
"110007 CORUMBIARA";575
"110008 COSTA MARQUES";1584
"110009 ESPIGAO D'OESTE";2542
"110010 GUAJARA-MIRIM";4321
"110011 JARU";4059
"110012 JI-PARANA";9841
"110013 MACHADINHO D'OESTE";3323
"110014 NOVA BRASILANDIA D'OESTE";1477
"110015 OURO PRETO DO OESTE";2802
"110018 PIMENTA BUENO";2837
"110020 PORTO VELHO";39318
"110025 PRESIDENTE MEDICI";1482
"110026 RIO CRESPO";292
"110028 ROLIM DE MOURA";4024
"110029 SANTA LUZIA D'OESTE";554
"110030 VILHENA";7377
"110032 SAO MIGUEL DO GUAPORE";1839
"110033 NOVA MAMORE";2600
"110034 ALVORADA D'OESTE";1195
"110037 ALTO ALEGRE DOS PARECIS";1080
"110040 ALTO PARAISO";1642
"110045 BURITIS";3226
"110050 NOVO HORIZONTE DO OESTE";697
"110060 CACAULANDIA";498
"110070 CAMPO NOVO DE RONDONIA";1198
"110080 CANDEIAS DO JAMARI";2162
"110090 CASTANHEIRAS";220
"110092 CHUPINGUAIA";910
"110094 CUJUBIM";2009
"110100 GOVERNADOR JORGE TEIXEIRA";672
"110110 ITAPUA DO OESTE";918
"110120 MINISTRO ANDREAZZA";838
"110130 MIRANTE DA SERRA";850
"110140 MONTE NEGRO";1261
"110143 NOVA UNIAO";579
"110145 PARECIS";499
"110146 PIMENTEIRAS DO OESTE";202
"110147 PRIMAVERA DE RONDONIA";215
"110148 SAO FELIPE D'OESTE";382
"110149 SAO FRANCISCO DO GUAPORE";1613
"110150 SERINGUEIRAS";897
"110155 TEIXEIROPOLIS";331
"110160 THEOBROMA";847
"110170 URUPA";916
"110175 VALE DO ANARI";843
"110180 VALE DO PARAISO";547
"120001 ACRELANDIA";1456
"120005 ASSIS BRASIL";860
"120010 BRASILEIA";2463
"120013 BUJARI";986
"120017 CAPIXABA";1084
"120020 CRUZEIRO DO SUL";9707
"120025 EPITACIOLANDIA";1756
"120030 FEIJO";4665
"120032 JORDAO";1212
"120033 MANCIO LIMA";2189
"120034 MANOEL URBANO";1116
"120035 MARECHAL THAUMATURGO";2647
"120038 PLACIDO DE CASTRO";2045
"120039 PORTO WALTER";1744
"120040 RIO BRANCO";36524
"120042 RODRIGUES ALVES";2233
"120043 SANTA ROSA DO PURUS";839
"120045 SENADOR GUIOMARD";2265
"120050 SENA MADUREIRA";4670
"120060 TARAUACA";5715
"120070 XAPURI";1887
"120080 PORTO ACRE";1766
"130002 ALVARAES";2122
"130006 AMATURA";1344
"130008 ANAMA";1332
"130010 ANORI";2247
"130014 APUI";1719
"130020 ATALAIA DO NORTE";2279
"130030 AUTAZES";4428
