 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2021 - Brasil
População residente por Município
Sexo: Feminino
Faixa Etária 1: 40 a 49 anos
Período:2004
"Município";"População_residente"
"110001 ALTA FLORESTA D'OESTE";1360
"110002 ARIQUEMES";4299
"110003 CABIXI";393
"110004 CACOAL";4448
"110005 CEREJEIRAS";1026
"110006 COLORADO DO OESTE";1196
"110007 CORUMBIARA";461
"110008 COSTA MARQUES";496
"110009 ESPIGAO D'OESTE";1460
"110010 GUAJARA-MIRIM";1930
"110011 JARU";2739
"110012 JI-PARANA";6599
"110013 MACHADINHO D'OESTE";1319
"110014 NOVA BRASILANDIA D'OESTE";1004
"110015 OURO PRETO DO OESTE";2197
"110018 PIMENTA BUENO";1910
"110020 PORTO VELHO";21208
"110025 PRESIDENTE MEDICI";1445
"110026 RIO CRESPO";144
"110028 ROLIM DE MOURA";2725
"110029 SANTA LUZIA D'OESTE";578
"110030 VILHENA";3722
"110032 SAO MIGUEL DO GUAPORE";1023
"110033 NOVA MAMORE";819
"110034 ALVORADA D'OESTE";992
"110037 ALTO ALEGRE DOS PARECIS";574
"110040 ALTO PARAISO";716
"110045 BURITIS";1370
"110050 NOVO HORIZONTE DO OESTE";573
"110060 CACAULANDIA";273
"110070 CAMPO NOVO DE RONDONIA";559
"110080 CANDEIAS DO JAMARI";721
"110090 CASTANHEIRAS";200
"110092 CHUPINGUAIA";282
"110094 CUJUBIM";489
"110100 GOVERNADOR JORGE TEIXEIRA";578
"110110 ITAPUA DO OESTE";370
"110120 MINISTRO ANDREAZZA";516
"110130 MIRANTE DA SERRA";653
"110140 MONTE NEGRO";635
"110143 NOVA UNIAO";363
"110145 PARECIS";208
"110146 PIMENTEIRAS DO OESTE";117
"110147 PRIMAVERA DE RONDONIA";199
"110148 SAO FELIPE D'OESTE";367
"110149 SAO FRANCISCO DO GUAPORE";627
"110150 SERINGUEIRAS";549
"110155 TEIXEIROPOLIS";256
"110160 THEOBROMA";525
"110170 URUPA";748
"110175 VALE DO ANARI";403
"110180 VALE DO PARAISO";445
"120001 ACRELANDIA";444
"120005 ASSIS BRASIL";192
"120010 BRASILEIA";764
"120013 BUJARI";289
"120017 CAPIXABA";282
"120020 CRUZEIRO DO SUL";2796
"120025 EPITACIOLANDIA";562
"120030 FEIJO";1009
"120032 JORDAO";127
"120033 MANCIO LIMA";458
"120034 MANOEL URBANO";241
"120035 MARECHAL THAUMATURGO";265
