 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2021 - Brasil
População residente por Município
Período:2013
"Município";"População_residente"
"110001 ALTA FLORESTA D'OESTE";24293
"110002 ARIQUEMES";97540
"110003 CABIXI";6080
"110004 CACOAL";82035
"110005 CEREJEIRAS";17060
"110006 COLORADO DO OESTE";17985
"110007 CORUMBIARA";8460
"110008 COSTA MARQUES";15427
"110009 ESPIGAO D'OESTE";30379
"110010 GUAJARA-MIRIM";43795
"110011 JARU";52737
"110012 JI-PARANA";122503
"110013 MACHADINHO D'OESTE";34544
"110014 NOVA BRASILANDIA D'OESTE";20381
"110015 OURO PRETO DO OESTE";37891
"110018 PIMENTA BUENO";35284
"110020 PORTO VELHO";468543
"110025 PRESIDENTE MEDICI";21564
"110026 RIO CRESPO";3516
"110028 ROLIM DE MOURA";52891
"110029 SANTA LUZIA D'OESTE";8234
"110030 VILHENA";85198
"110032 SAO MIGUEL DO GUAPORE";22555
"110033 NOVA MAMORE";25551
"110034 ALVORADA D'OESTE";16308
"110037 ALTO ALEGRE DOS PARECIS";13155
"110040 ALTO PARAISO";18819
"110045 BURITIS";35287
"110050 NOVO HORIZONTE DO OESTE";9836
"110060 CACAULANDIA";5988
"110070 CAMPO NOVO DE RONDONIA";13349
"110080 CANDEIAS DO JAMARI";22370
"110090 CASTANHEIRAS";3458
"110092 CHUPINGUAIA";9381
"110094 CUJUBIM";19192
"110100 GOVERNADOR JORGE TEIXEIRA";9769
"110110 ITAPUA DO OESTE";9324
"110120 MINISTRO ANDREAZZA";10284
"110130 MIRANTE DA SERRA";11755
"110140 MONTE NEGRO";14892
"110143 NOVA UNIAO";7437
"110145 PARECIS";5302
"110146 PIMENTEIRAS DO OESTE";2303
"110147 PRIMAVERA DE RONDONIA";3358
"110148 SAO FELIPE D'OESTE";5832
"110149 SAO FRANCISCO DO GUAPORE";17682
"110150 SERINGUEIRAS";11885
"110155 TEIXEIROPOLIS";4772
"110160 THEOBROMA";10747
"110170 URUPA";12678
"110175 VALE DO ANARI";10131
"110180 VALE DO PARAISO";7880
"120001 ACRELANDIA";13821
"120005 ASSIS BRASIL";6703
"120010 BRASILEIA";23670
"120013 BUJARI";9324
"120017 CAPIXABA";10048
"120020 CRUZEIRO DO SUL";84109
"120025 EPITACIOLANDIA";16658
"120030 FEIJO";34144
"120032 JORDAO";7357
"120033 MANCIO LIMA";16924
"120034 MANOEL URBANO";8712
"120035 MARECHAL THAUMATURGO";16213
"120038 PLACIDO DE CASTRO";18569
"120039 PORTO WALTER";10393
"120040 RIO BRANCO";369899
"120042 RODRIGUES ALVES";16345
"120043 SANTA ROSA DO PURUS";5454
"120045 SENADOR GUIOMARD";21724
"120050 SENA MADUREIRA";41777
"120060 TARAUACA";38981
"120070 XAPURI";17651
"120080 PORTO ACRE";16538
"130002 ALVARAES";14929
"130006 AMATURA";10285
"130008 ANAMA";11488
"130010 ANORI";18105
"130014 APUI";19573
"130020 ATALAIA DO NORTE";16950
"130030 AUTAZES";35048
"130040 BARCELOS";26655
"130050 BARREIRINHA";29286
"130060 BENJAMIN CONSTANT";37059
"130063 BERURI";17095
"130068 BOA VISTA DO RAMOS";16593
"130070 BOCA DO ACRE";32268
"130080 BORBA";37499
"130083 CAAPIRANGA";11826
"130090 CANUTAMA";14524
"130100 CARAUARI";26959
"130110 CAREIRO";34887
"130115 CAREIRO DA VARZEA";26355
"130120 COARI";80027
"130130 CODAJAS";25332
"130140 EIRUNEPE";32614
"130150 ENVIRA";17791
"130160 FONTE BOA";21373
"130165 GUAJARA";15064
"130170 HUMAITA";48447
"130180 IPIXUNA";25039
"130185 IRANDUBA";43837
"130190 ITACOATIARA";92843
"130195 ITAMARATI";8082
"130200 ITAPIRANGA";8633
"130210 JAPURA";5891
"130220 JURUA";12254
"130230 JUTAI";16998
"130240 LABREA";41002
"130250 MANACAPURU";90364
"130255 MANAQUIRI";26219
"130260 MANAUS";1953360
"130270 MANICORE";50563
"130280 MARAA";17993
"130290 MAUES";56835
"130300 NHAMUNDA";19489
"130310 NOVA OLINDA DO NORTE";33340
"130320 NOVO AIRAO";16502
"130330 NOVO ARIPUANA";23139
"130340 PARINTINS";107481
"130350 PAUINI";18828
"130353 PRESIDENTE FIGUEIREDO";30583
"130356 RIO PRETO DA EVA";28614
"130360 SANTA ISABEL DO RIO NEGRO";20734
"130370 SANTO ANTONIO DO ICA";23840
"130380 SAO GABRIEL DA CACHOEIRA";40965
"130390 SAO PAULO DE OLIVENCA";34476
"130395 SAO SEBASTIAO DO UATUMA";11957
"130400 SILVES";8799
"130406 TABATINGA";57509
"130410 TAPAUA";18036
"130420 TEFE";61727
"130423 TONANTINS";17866
"130426 UARINI";12600
"130430 URUCARA";17039
"130440 URUCURITUBA";19824
"140002 AMAJARI";10543
"140005 ALTO ALEGRE";16329
"140010 BOA VISTA";311030
"140015 BONFIM";11547
"140017 CANTA";15534
"140020 CARACARAI";19782
"140023 CAROEBE";8885
"140028 IRACEMA";9871
"140030 MUCAJAI";15968
"140040 NORMANDIA";9825
"140045 PACARAIMA";11511
